solution_id;problem_id;user_id;contest_id;filename;checksum;lang_id;check_type;posted_time;checked_time;contest_time;test_result;test_score;score;module_val;compile_error;is_passed
362266;100003;18365;3123;;3be06d14615cbd076b152558866f8695;12;F;1691574561;1691574563;78561;0;100.00;100.00;0;NULL;1
366748;100001;18365;3123;;75bc62b51b8005ea63cd794f46dc9c84;12;F;1691925147;1691925150;429147;0;100.00;100.00;0;NULL;1
360792;100001;18386;3123;;49087478ec6c5c0ca2f5bf360ac234d2;12;F;1691496359;1691496362;359;0;100.00;100.00;0;NULL;1
360822;100002;18386;3123;;8f3a41807a1da08207e20b6b5625c22d;12;F;1691496718;1691496720;718;4;69.30;69.30;0;wrong answer expected 2625, found 2660\n\nwrong answer expected 1656, found 1746\n\nwrong answer expected 1134, found 1152\n\nwrong answer expected 3384, found 3564\n\nwrong answer expected 1536, found 1560\n\nwrong answer expected 1533, found 1596\n\nwrong answer expected 1536, found 1560\n\nwrong answer expected 2688, found 2784\n\nwrong answer expected 366, found 372\n\nwrong answer expected 1992, found 2040\n\nwrong answer expected 744, found 756\n\nwrong answer expected 1536, found 1584\n\nwrong answer expected 819, found 864\n\nwrong answer expected 1008, found 1022\n\nwrong answer expected 1656, found 1746\n\nwrong answer expected 1656, found 1764\n\nwrong answer expected 366, found 396\n\nwrong answer expected 819, found 828\n\nwrong answer expected 648, found 672\n\nwrong answer expected 3384, found 3528\n\nwrong answer expected 819, found 864\n\nwrong answer expected 744, found 768\n\nwrong answer expected 3384, found 3456\n\n\n;1
360907;100002;18386;3123;;76c6c76d4b48fd4d1436adaa46013150;12;F;1691497664;1691497666;1664;4;61.20;61.20;0;wrong answer expected 2625, found 3192\n\nwrong answer expected 0, found 1080\n\nwrong answer expected 0, found 3773\n\nwrong answer expected 0, found 7056\n\nwrong answer expected 1656, found 6111\n\nwrong answer expected 1134, found 1536\n\nwrong answer expected 0, found 3400\n\nwrong answer expected 3384, found 8019\n\nwrong answer expected 0, found 520\n\nwrong answer expected 1536, found 1950\n\nwrong answer expected 1533, found 3192\n\nwrong answer expected 1536, found 1950\n\nwrong answer expected 0, found 1656\n\nwrong answer expected 2688, found 4872\n\nwrong answer expected 366, found 744\n\nwrong answer expected 0, found 819\n\nwrong answer expected 1992, found 3400\n\nwrong answer expected 0, found 2072\n\nwrong answer expected 744, found 1134\n\nwrong answer expected 1536, found 2376\n\nwrong answer expected 819, found 5184\n\nwrong answer expected 1008, found 1533\n\nwrong answer expected 1656, found 6111\n\nwrong answer expected 1656, found 7056\n\nwrong answer expected 366, found 2376\n\nwrong answer expected 819, found 1656\n\nwrong answer expected 648, found 2688\n\nwrong answer expected 3384, found 7056\n\nwrong answer expected 819, found 5184\n\nwrong answer expected 0, found 336\n\nwrong answer expected 744, found 1536\n\nwrong answer expected 3384, found 5184\n\n\n;1
360942;100003;18386;3123;;33bfd2adb87a6cde5d5e6e8b4f6b581f;12;F;1691498007;1691498009;2007;0;100.00;100.00;0;NULL;1
361159;100004;18386;3123;;95fe6620fee3adb624da9d84b93a2b28;12;F;1691502353;1691502356;6353;12;52.20;52.20;0;wrong output format Output file not found: "/sandbox/solution/output.txt"\n\nwrong output format Output file not found: "/sandbox/solution/output.txt"\n\nwrong output format Output file not found: "/sandbox/solution/output.txt"\n\nwrong output format Output file not found: "/sandbox/solution/output.txt"\n\nwrong output format Output file not found: "/sandbox/solution/output.txt"\n\nwrong output format Output file not found: "/sandbox/solution/output.txt"\n\nwrong output format Output file not found: "/sandbox/solution/output.txt"\n\nwrong output format Output file not found: "/sandbox/solution/output.txt"\n\nwrong output format Output file not found: "/sandbox/solution/output.txt"\n\nwrong output format Output file not found: "/sandbox/solution/output.txt"\n\nwrong output format Output file not found: "/sandbox/solution/output.txt"\n\nwrong output format Output file not found: "/sandbox/solution/output.txt"\n\nwrong output format Output file not found: "/sandbox/solution/output.txt"\n\nwrong output format Output file not found: "/sandbox/solution/output.txt"\n\nwrong output format Output file not found: "/sandbox/solution/output.txt"\n\nwrong output format Output file not found: "/sandbox/solution/output.txt"\n\nwrong output format Output file not found: "/sandbox/solution/output.txt"\n\nwrong output format Output file not found: "/sandbox/solution/output.txt"\n\nwrong output format Output file not found: "/sandbox/solution/output.txt"\n\nwrong output format Output file not found: "/sandbox/solution/output.txt"\n\nwrong output format Output file not found: "/sandbox/solution/output.txt"\n\nwrong output format Output file not found: "/sandbox/solution/output.txt"\n\nwrong output format Output file not found: "/sandbox/solution/output.txt"\n\nwrong output format Output file not found: "/sandbox/solution/output.txt"\n\nwrong output format Output file not found: "/sandbox/solution/output.txt"\n\nwrong output format Output file not found: "/sandbox/solution/output.txt"\n\nwrong output format Output file not found: "/sandbox/solution/output.txt"\n\nwrong output format Output file not found: "/sandbox/solution/output.txt"\n\nwrong output format Output file not found: "/sandbox/solution/output.txt"\n\nwrong output format Output file not found: "/sandbox/solution/output.txt"\n\nwrong output format Output file not found: "/sandbox/solution/output.txt"\n\nwrong output format Output file not found: "/sandbox/solution/output.txt"\n\nwrong output format Output file not found: "/sandbox/solution/output.txt"\n\nwrong output format Output file not found: "/sandbox/solution/output.txt"\n\nwrong output format Output file not found: "/sandbox/solution/output.txt"\n\nwrong output format Output file not found: "/sandbox/solution/output.txt"\n\nwrong output format Output file not found: "/sandbox/solution/output.txt"\n\nwrong output format Output file not found: "/sandbox/solution/output.txt"\n\nwrong output format Output file not found: "/sandbox/solution/output.txt"\n\nwrong output format Output file not found: "/sandbox/solution/output.txt"\n\nwrong output format Output file not found: "/sandbox/solution/output.txt"\n\nwrong output format Output file not found: "/sandbox/solution/output.txt"\n\nwrong answer expected -1, found 158\n\nwrong output format Output file not found: "/sandbox/solution/output.txt"\n\nwrong answer expected -1, found 152\n\nwrong output format Output file not found: "/sandbox/solution/output.txt"\n\nwrong output format Output file not found: "/sandbox/solution/output.txt"\n\nwrong output format Output file not found: "/sandbox/solution/output.txt"\n\nwrong answer expected -1, found 158\n\nwrong output format Output file not found: "/sandbox/solution/output.txt"\n\nwrong output format Output file not found: "/sandbox/solution/output.txt"\n\nwrong answer expected -1, found 203\n\nwrong output format Output file not found: "/sandbox/solution/output.txt"\n\nwrong output format Output file not found: "/sandbox/solution/output.txt"\n\nwrong output format Output file not found: "/sandbox/solution/output.txt"\n\nwrong output format Output file not found: "/sandbox/solution/output.txt"\n\nwrong output format Output file not found: "/sandbox/solution/output.txt"\n\nwrong output format Output file not found: "/sandbox/solution/output.txt"\n\nwrong output format Output file not found: "/sandbox/solution/output.txt"\n\nwrong output format Output file not found: "/sandbox/solution/output.txt"\n\nwrong output format Output file not found: "/sandbox/solution/output.txt"\n\nwrong output format Output file not found: "/sandbox/solution/output.txt"\n\nwrong output format Output file not found: "/sandbox/solution/output.txt"\n\n\n;1
361741;100004;18386;3123;;5c96c9dca2271c62375d3ba1f8330a16;12;F;1691562215;1691562219;66215;4;87.60;87.60;0;wrong answer expected -1, found 158\n\nwrong answer expected -1, found 152\n\nwrong answer expected -1, found 158\n\nwrong answer expected -1, found 203\n\n\n;1
361765;100002;18386;3123;;a8d6f890b283220310aac0a43d5443fb;12;F;1691563276;1691563279;67276;0;100.00;100.00;0;NULL;1
362189;100005;18386;3123;;6b2ea5e970b97835e8e1e41bc965c8bf;12;F;1691572324;1691572325;76324;4;21.00;21.00;0;wrong answer sum != n\n\nwrong answer sum != n\n\nwrong answer sum != n\n\nwrong answer sum != n\n\nwrong answer sum != n\n\nwrong answer sum != n\n\nwrong answer sum != n\n\nwrong answer sum != n\n\nwrong answer sum != n\n\nwrong answer sum != n\n\nwrong answer sum != n\n\nwrong answer sum != n\n\nwrong answer sum != n\n\nwrong answer sum != n\n\nwrong answer sum != n\n\nwrong answer sum != n\n\nwrong answer sum != n\n\nwrong answer sum != n\n\nwrong answer sum != n\n\nwrong answer sum != n\n\nwrong answer sum != n\n\n\n;1
