відправки,00:00 - 02:00,02:00 - 04:00,04:00 - 06:00,06:00 - 08:00,08:00 - 10:00,10:00 - 12:00,12:00 - 14:00,14:00 - 16:00,16:00 - 18:00,18:00 - 20:00,20:00 - 22:00,22:00 - 00:00
Усього:,53,11,15,250,542,615,904,654,378,254,362,169
ОК:,8,3,5,85,161,219,352,210,103,63,86,32
