клас,кількість користувачів,кількість спроб,успішні відправлення,сума балів
5,1,22,9,1192.6
6,21,497,171,30446.9
7,27,693,186,34690.6
8,18,429,163,27889.2
9,19,681,215,40260.2
10+,31,1806,560,112325.9
